first_operand,operator,second_operand,answer
9373,-,2770,6603
2076,+,1255,3331
2638,*,9502,25066276
3019,+,8535,11554
2670,-,2735,-65
6683,+,7988,14671
4139,-,4759,-620
310,+,592,902
235,-,131,104
9425,+,320,9745
5720,+,2756,8476
4022,+,7870,11892
6635,*,6681,44328435
4503,-,4870,-367
3315,-,9624,-6309
2842,+,2961,5803
7708,*,7531,58048948
4262,+,9958,14220
8497,+,1644,10141
8792,-,8165,627
6563,-,4417,2146
9102,-,6905,2197
27,*,2650,71550
521,-,5531,-5010
5079,*,2898,14718942
4782,*,5204,24885528
4079,-,4919,-840
279,*,6810,1899990
7257,+,6760,14017
1266,+,1347,2613
6006,-,2233,3773
1639,-,2524,-885
7548,+,4056,11604
871,*,8063,7022873
6698,*,6737,45124426
9220,*,6827,62944940
1588,*,8700,13815600
6438,*,5499,35402562
4680,+,7542,12222
7513,+,4457,11970
763,*,1200,915600
9736,+,6904,16640
4540,*,8500,38590000
2678,+,1423,4101
3580,+,8691,12271
4635,*,5241,24292035
7045,-,5066,1979
4713,*,7537,35521881
7538,*,7577,57115426
4472,-,8752,-4280
6471,*,9337,60419727
8601,-,3239,5362
7002,+,6002,13004
3665,-,2472,1193
175,*,8944,1565200
5790,-,1621,4169
3888,-,1009,2879
6540,*,2619,17128260
8308,+,4351,12659
5922,+,8360,14282
5734,-,7481,-1747
2585,-,6992,-4407
222,-,7636,-7414
8018,*,5593,44844674
3488,*,1615,5633120
9541,*,6598,62951518
7498,-,8542,-1044
5393,+,1878,7271
7749,-,4825,2924
48,+,6176,6224
8762,+,3014,11776
5135,+,3352,8487
341,+,2135,2476
5398,+,7483,12881
7859,*,7280,57213520
2949,-,5185,-2236
3759,*,3107,11679213
9098,+,3903,13001
9178,-,7232,1946
966,+,4777,5743
2105,+,1031,3136
2414,+,4593,7007
2568,*,3136,8053248
4697,-,3470,1227
3136,-,9211,-6075
79,*,7549,596371
7625,+,7620,15245
2977,-,7553,-4576
6320,*,4210,26607200
3379,*,9902,33458858
3315,+,123,3438
2095,*,6039,12651705
2567,-,3323,-756
6864,-,5528,1336
5630,*,52,292760
9485,-,2579,6906
4637,*,9381,43499697
8220,*,1507,12387540
7501,*,7069,53024569
505,-,9911,-9406
4882,*,5961,29101602
5662,+,7111,12773
9394,-,2829,6565
9403,+,5380,14783
2394,+,692,3086
6531,-,5741,790
5255,-,3481,1774
9621,*,4043,38897703
7087,+,7199,14286
4721,+,1879,6600
5622,*,1424,8005728
5620,+,2191,7811
8366,-,8456,-90
584,+,6322,6906
3714,-,7731,-4017
9176,+,4678,13854
3589,*,2369,8502341
4921,+,3916,8837
6675,+,1388,8063
1465,-,3139,-1674
6480,-,975,5505
2295,+,7456,9751
5773,+,1194,6967
9506,-,3735,5771
7881,-,2133,5748
8111,+,6819,14930
2112,*,8579,18118848
8429,+,3888,12317
5335,*,2729,14559215
7766,+,168,7934
1010,*,385,388850
4904,-,5190,-286
9230,+,556,9786
7869,+,7064,14933
9115,-,9559,-444
4691,-,9156,-4465
1909,+,9624,11533
3265,*,3774,12322110
6277,+,2495,8772
9728,-,2497,7231
3645,+,3020,6665
5556,+,7748,13304
4837,*,3665,17727605
936,-,6450,-5514
8409,*,1850,15556650
5222,-,5257,-35
2173,+,5594,7767
2734,-,4284,-1550
7553,*,6507,49147371
9747,+,2375,12122
1951,+,6435,8386
777,-,6380,-5603
9131,+,37,9168
862,+,2493,3355
9818,-,1882,7936
2596,-,8652,-6056
4426,-,8971,-4545
5235,-,4500,735
7177,+,6725,13902
1828,*,1028,1879184
1875,-,4426,-2551
2306,-,511,1795
2125,-,5580,-3455
5719,+,9343,15062
3830,-,5536,-1706
8543,-,212,8331
5476,*,9398,51463448
9520,+,4290,13810
8614,*,2860,24636040
5915,*,8973,53075295
954,*,9840,9387360
9909,+,2685,12594
8688,-,7826,862
1927,*,5298,10209246
9127,+,3393,12520
1579,*,2749,4340671
8230,+,9765,17995
581,*,1610,935410
9024,-,4182,4842
9888,-,9925,-37
2784,+,3865,6649
3517,*,381,1339977
5036,*,6460,32532560
61,+,5641,5702
1908,*,6979,13315932
5649,+,2715,8364
4351,+,7280,11631
6392,-,3130,3262
4720,-,12,4708
718,*,6127,4399186
6083,-,4674,1409
3569,-,3445,124
2517,+,2113,4630
5426,-,2619,2807
6690,+,7582,14272
3986,*,2852,11368072
5908,*,6981,41243748
3715,-,461,3254
6831,-,9557,-2726
9254,*,382,3535028
205,-,1856,-1651
881,-,2525,-1644
2629,*,3084,8107836
8909,-,1607,7302
658,-,4809,-4151
9340,+,2201,11541
2959,*,5947,17597173
61,+,5888,5949
525,-,2260,-1735
5459,+,2400,7859
3299,+,3313,6612
3110,-,9736,-6626
4154,*,2280,9471120
6108,-,5511,597
4818,-,5941,-1123
4361,*,8179,35668619
2263,*,2431,5501353
8790,-,872,7918
1904,-,1922,-18
2441,+,4832,7273
4736,-,1690,3046
1435,*,9082,13032670
8034,-,2447,5587
6277,-,727,5550
3036,-,5350,-2314
6692,-,7824,-1132
5953,-,3650,2303
6953,*,7675,53364275
7777,-,6307,1470
9111,*,2930,26695230
3664,-,3747,-83
1827,*,3025,5526675
134,*,6744,903696
9039,*,8931,80727309
1774,*,8296,14717104
5520,+,1537,7057
8641,*,8730,75435930
3819,-,9776,-5957
1996,-,4954,-2958
7505,*,6549,49150245
204,*,672,137088
2767,+,145,2912
6082,-,2731,3351
8637,*,4558,39367446
4019,-,1160,2859
3407,+,6246,9653
5803,-,1301,4502
8348,*,9876,82444848
6976,*,8023,55968448
1115,+,4658,5773
4838,+,6739,11577
2817,*,4358,12276486
6869,-,4862,2007
1118,*,9515,10637770
8718,+,4849,13567
7013,+,5440,12453
870,*,171,148770
2798,+,3544,6342
7591,*,773,5867843
2145,*,7872,16885440
9469,*,3905,36976445
3940,+,1380,5320
1515,+,8846,10361
8078,+,4786,12864
141,*,8412,1186092
5010,*,5008,25090080
9026,*,4049,36546274
5114,*,5908,30213512
8969,+,6912,15881
7053,+,475,7528
9279,*,2141,19866339
6340,*,666,4222440
1504,-,1044,460
5351,*,125,668875
7655,*,9340,71497700
8887,*,8969,79707503
6655,+,7241,13896
2982,+,2837,5819
1379,-,9056,-7677
6701,-,6946,-245
4706,+,1288,5994
3543,+,5617,9160
1922,*,419,805318
5317,+,9199,14516
9615,*,5927,56988105
5004,*,3765,18840060
2668,*,2276,6072368
3333,-,4712,-1379
6437,*,4899,31534863
8850,-,2435,6415
196,-,4941,-4745
7908,+,9650,17558
2987,*,9895,29556365
9701,+,3574,13275
7079,-,4479,2600
2733,+,8492,11225
8956,-,8743,213
5973,*,4046,24166758
8621,-,916,7705
4305,-,6151,-1846
220,+,4983,5203
378,-,5208,-4830
9912,-,2975,6937
1274,-,8104,-6830
8318,+,9139,17457
1111,*,1573,1747603
8081,+,7217,15298
3602,-,6345,-2743
9568,+,781,10349
1560,*,8298,12944880
4661,+,629,5290
7008,*,2838,19888704
4196,-,9027,-4831
740,*,6815,5043100
8523,*,7265,61919595
4557,*,8110,36957270
8261,-,1094,7167
6077,+,6919,12996
9882,*,7959,78650838
5056,-,4717,339
8109,+,604,8713
7328,-,1981,5347
3832,-,5314,-1482
8885,-,9230,-345
446,*,9399,4191954
8659,+,3631,12290
180,*,748,134640
6729,*,7166,48220014
4848,+,6052,10900
6409,+,905,7314
8221,-,2112,6109
9505,-,5608,3897
9543,-,773,8770
8345,-,5802,2543
1120,+,8446,9566
2703,*,8748,23645844
330,+,9422,9752
4397,-,7879,-3482
2475,-,7123,-4648
4057,-,4150,-93
382,*,9064,3462448
2610,+,5846,8456
3430,*,1109,3803870
1898,-,9222,-7324
6666,-,8682,-2016
7587,-,7227,360
147,+,2292,2439
7029,*,6413,45076977
8339,-,3276,5063
6892,+,7294,14186
5543,*,1619,8974117
8702,*,6261,54483222
3874,-,5302,-1428
4855,+,5005,9860
3318,*,922,3059196
7059,*,9520,67201680
9345,-,115,9230
7381,-,1930,5451
4068,*,520,2115360
8678,+,5417,14095
1226,-,3819,-2593
9586,-,6361,3225
3728,+,7508,11236
6261,+,1675,7936
7868,-,9087,-1219
981,*,8661,8496441
8884,+,3003,11887
8851,+,1821,10672
6871,*,2530,17383630
8360,-,7409,951
8354,*,3813,31853802
86,+,2229,2315
347,-,233,114
3830,-,5886,-2056
4255,*,3822,16262610
7008,+,4024,11032
7274,-,1407,5867
5669,+,5111,10780
4066,*,6781,27571546
1015,+,9037,10052
7229,-,4592,2637
7218,*,5594,40377492
5336,-,1642,3694
4640,*,2572,11934080
6868,-,2138,4730
9418,*,5036,47429048
9628,*,7319,70467332
6450,+,2477,8927
3717,*,167,620739
4487,+,1159,5646
5236,-,807,4429
4788,*,7135,34162380
4065,-,5828,-1763
4955,-,3280,1675
5361,*,4483,24033363
3306,+,8401,11707
458,*,4043,1851694
1485,-,2474,-989
9666,-,9234,432
4281,-,4469,-188
933,+,7981,8914
5796,*,8827,51161292
2701,+,4079,6780
6771,*,2758,18674418
3199,-,9327,-6128
8227,*,4206,34602762
716,-,4992,-4276
2879,-,9294,-6415
183,*,8619,1577277
8641,*,1292,11164172
3133,+,788,3921
6120,+,1066,7186
4395,*,6538,28734510
2503,*,6996,17510988
5214,+,5308,10522
5950,*,9898,58893100
3941,+,4279,8220
9475,-,996,8479
1865,*,5724,10675260
3684,-,8101,-4417
213,-,7136,-6923
9664,*,1917,18525888
6570,*,9441,62027370
974,*,7619,7420906
6906,*,3293,22741458
4939,*,3503,17301317
8046,-,9255,-1209
4407,*,3396,14966172
2625,-,8376,-5751
1743,-,648,1095
4137,*,6477,26795349
9383,-,2596,6787
2078,-,1055,1023
688,+,3910,4598
3407,+,4172,7579
4402,*,548,2412296
4326,*,7478,32349828
5717,-,6358,-641
5005,*,1099,5500495
5961,-,2576,3385
8975,*,9284,83323900
5291,+,4870,10161
4411,-,5752,-1341
7508,-,9177,-1669
7831,+,4779,12610
495,-,731,-236
8372,-,6001,2371
70,-,3613,-3543
4223,*,14,59122
711,-,7071,-6360
4990,-,7358,-2368
5510,+,9610,15120
2518,-,9921,-7403
8953,-,6644,2309
3002,*,7421,22277842
2190,-,5197,-3007
4091,+,6933,11024
6144,-,2088,4056
4979,*,4683,23316657
798,*,2326,1856148
9551,-,3661,5890
258,+,3581,3839
8178,+,6221,14399
9784,+,2826,12610
6704,+,5048,11752
8202,*,8132,66698664
8191,+,1130,9321
242,-,4307,-4065
3522,-,152,3370
2995,-,9150,-6155
3228,*,7001,22599228
4420,+,9665,14085
3779,+,2600,6379
5249,*,5481,28769769
7254,-,3552,3702
1374,+,9078,10452
5372,*,3003,16132116
1505,*,217,326585
7844,+,5402,13246
5123,-,4923,200
4383,*,4944,21669552
1294,*,9834,12725196
8342,+,461,8803
8406,-,2121,6285
2563,-,4169,-1606
642,*,5025,3226050
5218,+,3016,8234
6007,*,9036,54279252
1352,-,9420,-8068
39,+,5038,5077
7126,*,32,228032
5255,-,240,5015
2641,*,9922,26204002
8899,-,6407,2492
4792,+,5400,10192
2875,+,1390,4265
5524,-,4600,924
3250,+,163,3413
4793,-,8247,-3454
4036,*,1880,7587680
2435,*,7400,18019000
7047,+,8079,15126
3868,+,7818,11686
3186,+,6862,10048
5299,-,2541,2758
2096,-,7558,-5462
3044,+,1842,4886
2027,-,1331,696
2165,+,9598,11763
9516,+,7580,17096
16,-,5584,-5568
5451,+,6921,12372
3723,*,2719,10122837
7697,+,5284,12981
6869,-,9259,-2390
9759,*,4838,47214042
2914,+,6650,9564
9588,*,8200,78621600
2598,*,8906,23137788
7457,*,2730,20357610
4738,+,4056,8794
9968,*,7279,72557072
5151,-,7043,-1892
2771,+,2896,5667
279,+,6181,6460
3704,+,8307,12011
5491,-,1765,3726
5402,-,2249,3153
7831,+,6249,14080
7742,+,9447,17189
7171,-,2613,4558
978,+,3633,4611
3339,+,5421,8760
519,+,2244,2763
15,-,4101,-4086
1207,-,2789,-1582
8770,+,4244,13014
2205,+,7574,9779
7033,+,9422,16455
4097,*,3465,14196105
1947,+,8613,10560
6706,-,4813,1893
4764,-,4435,329
978,*,8990,8792220
9118,*,2089,19047502
6550,-,6544,6
7828,-,1973,5855
1060,*,7157,7586420
4961,-,1179,3782
9584,*,3751,35949584
9930,-,4967,4963
8113,+,6360,14473
7735,*,4723,36532405
1661,+,3210,4871
2460,+,2107,4567
2576,*,1409,3629584
7290,+,7895,15185
4671,*,9289,43388919
4132,+,7305,11437
9622,+,3284,12906
7759,-,8214,-455
7357,+,6011,13368
9544,*,5996,57225824
2272,+,4675,6947
8123,+,1544,9667
3411,+,943,4354
1819,*,9565,17398735
7299,*,9434,68858766
5746,-,8649,-2903
6479,*,5279,34202641
2621,+,2987,5608
4883,*,2128,10391024
8254,-,9841,-1587
456,*,5341,2435496
9099,+,8728,17827
4913,*,2530,12429890
3653,*,2260,8255780
6644,*,3474,23081256
9904,-,4135,5769
3369,+,544,3913
1229,+,2100,3329
3670,+,4396,8066
7781,*,7881,61322061
6582,-,7181,-599
138,-,2158,-2020
7867,-,6597,1270
7320,+,5789,13109
9648,*,60,578880
9221,-,1146,8075
4346,-,9923,-5577
7500,-,2793,4707
3132,+,4614,7746
1216,*,2392,2908672
9676,-,5494,4182
2519,+,1577,4096
1793,+,3672,5465
8842,+,9594,18436
7255,+,5219,12474
9843,+,3157,13000
7541,-,4607,2934
1452,+,2970,4422
9645,+,2443,12088
442,-,8852,-8410
8375,-,3086,5289
5590,*,5660,31639400
9082,+,9849,18931
1414,*,3056,4321184
200,-,1499,-1299
8822,+,6841,15663
739,-,5987,-5248
4833,+,4296,9129
1071,-,6393,-5322
2069,*,5407,11187083
5536,+,178,5714
4134,*,8437,34878558
7115,*,118,839570
8465,+,2479,10944
3442,-,324,3118
7667,+,3418,11085
9104,-,174,8930
1369,-,2006,-637
1252,*,2368,2964736
3076,-,3022,54
4194,*,6192,25969248
9899,+,3065,12964
8312,+,9163,17475
5087,-,8394,-3307
927,*,2218,2056086
2029,-,9100,-7071
5356,*,3892,20845552
2139,+,9785,11924
7368,+,370,7738
7021,-,1813,5208
4474,+,6460,10934
4992,-,5315,-323
4054,-,3812,242
4836,+,3057,7893
2780,+,8940,11720
8034,-,5931,2103
1055,*,3859,4071245
4990,-,6919,-1929
5376,+,7887,13263
286,-,7128,-6842
5674,-,5523,151
8118,*,7964,64651752
6641,-,8329,-1688
1642,+,1862,3504
5758,+,6454,12212
9561,*,627,5994747
1117,-,7448,-6331
1323,+,5264,6587
3016,-,5087,-2071
8162,+,8233,16395
341,-,4577,-4236
5895,+,8320,14215
2011,-,8990,-6979
663,-,1815,-1152
6149,+,1227,7376
3307,-,8622,-5315
1721,+,4347,6068
899,+,5511,6410
68,-,420,-352
8048,+,4785,12833
7969,*,5130,40880970
3409,*,5487,18705183
7736,-,9496,-1760
6752,-,5704,1048
2013,+,3290,5303
4028,*,5100,20542800
2481,-,8093,-5612
8929,-,4386,4543
8283,*,6745,55868835
148,-,7097,-6949
5006,*,1131,5661786
9459,-,8289,1170
2218,-,3425,-1207
7651,*,8366,64008266
65,*,6407,416455
5710,+,9752,15462
5573,-,8922,-3349
2063,*,7785,16060455
5836,+,6485,12321
7203,-,7090,113
4369,-,8957,-4588
5821,*,3999,23278179
8951,-,5188,3763
8975,-,3727,5248
6522,-,4157,2365
152,*,2397,364344
2384,+,6520,8904
8430,*,8021,67617030
5382,+,104,5486
1953,+,1575,3528
3916,*,1235,4836260
8297,+,251,8548
9480,-,9800,-320
6689,*,9864,65980296
9188,+,3785,12973
4015,+,186,4201
2643,*,5697,15057171
2437,+,1682,4119
968,+,6943,7911
4018,+,8790,12808
8222,+,5401,13623
5392,+,9928,15320
9294,*,7296,67809024
2564,*,5095,13063580
7811,-,6331,1480
9638,*,5020,48382760
533,*,7393,3940469
8179,*,8660,70830140
2753,*,4810,13241930
8654,+,2091,10745
7811,+,2470,10281
446,-,3325,-2879
7535,*,8473,63844055
2156,-,1806,350
5800,+,9985,15785
1903,-,9682,-7779
223,*,9946,2217958
6311,-,761,5550
8802,-,5968,2834
3266,*,1293,4222938
4791,*,9713,46534983
1957,*,2059,4029463
4205,-,9105,-4900
1287,*,6196,7974252
6658,*,9379,62445382
3814,+,742,4556
6407,*,7365,47187555
8025,+,9626,17651
6973,*,4855,33853915
7766,-,1356,6410
2749,*,5483,15072767
2973,-,4636,-1663
759,+,4681,5440
3994,-,2477,1517
8577,*,1136,9743472
3235,*,9661,31253335
2814,+,4881,7695
